seed,max_sequence_length,case_name,deviation,lower_bound,upper_bound,exact_bound,runtime,precision,recall,f1,states,status,error_message
79820,25,upper_only,0.005,,0.028,0.022698218800602257,145.07454299926758,0.2641509433962264,0.30422535211267604,0.28277538806807556,2,success,
9471,25,both_bounds,0.0,0.022,0.023,0.02294442392735055,48.85276007652283,0.29841133533705455,0.29189416211675767,0.2951167728237792,2,success,
9471,25,lower_only,0.0,0.022,,0.02294442392735055,281.5709960460663,0.37283236994219654,0.379252414951701,0.3760149906308557,2,success,
9471,25,upper_only,0.0,,0.023,0.02294442392735055,1231.9784560203552,0.36779730281977935,0.377992440151197,0.3728251864125932,2,success,
9471,25,both_bounds,0.001,0.020999999999999998,0.024,0.02294442392735055,51.33915400505066,0.3310729956122856,0.3485930281394372,0.339607201309329,2,success,
9471,25,lower_only,0.001,0.020999999999999998,,0.02294442392735055,2123.6416618824005,0.10927573062261753,0.10835783284334313,0.10881484605651624,2,success,
9471,25,upper_only,0.001,,0.024,0.02294442392735055,185.41501998901367,0.11058638331365604,0.11801763964720706,0.11418122714343763,2,success,
9471,25,both_bounds,0.002,0.019999999999999997,0.025,0.02294442392735055,50.59198498725891,0.34729786342689567,0.34817303653926923,0.34773489932885904,2,success,
9471,25,lower_only,0.002,0.019999999999999997,,0.02294442392735055,228.70770692825317,0.0026513477684489617,0.00251994960100798,0.002583979328165375,2,success,
9471,25,upper_only,0.002,,0.025,0.02294442392735055,814.407751083374,0.7385518590998043,0.7925241495170097,0.7645867098865479,2,success,
9471,25,both_bounds,0.003,0.019,0.026,0.02294442392735055,43.630077838897705,0.34729786342689567,0.34817303653926923,0.34773489932885904,2,success,
9471,25,lower_only,0.003,0.019,,0.02294442392735055,337.0133719444275,0.0028222013170272815,0.00251994960100798,0.002662524961171511,2,success,
9471,25,upper_only,0.003,,0.026,0.02294442392735055,1516.609580039978,0.4526734104046243,0.5262494750104998,0.48669644591182754,2,success,
9471,25,both_bounds,0.004,0.018,0.027,0.02294442392735055,49.67153286933899,0.3310729956122856,0.3485930281394372,0.339607201309329,2,success,
9471,25,lower_only,0.004,0.018,,0.02294442392735055,117.93501496315002,0.34371754932502596,0.2780344393112138,0.3074065474808451,2,success,
9471,25,upper_only,0.004,,0.027,0.02294442392735055,1736.3068509101868,0.5520295202952029,0.6283074338513229,0.587703791003732,2,success,
9471,25,both_bounds,0.005,0.016999999999999998,0.028,0.02294442392735055,91.78503084182739,0.45294324991187873,0.5396892062158757,0.49252587198160214,2,success,
9471,25,lower_only,0.005,0.016999999999999998,,0.02294442392735055,433.2770268917084,0.843609865470852,0.6320873582528349,0.7226890756302521,2,success,
