seed,max_sequence_length,case_name,deviation,lower_bound,upper_bound,exact_bound,interpretability_case,self_loop_penalty,sink_state_penalty,parallel_edge_penalty,runtime,precision,recall,f1,states,status,error_message
9178,15,both_bounds,,0.059,0.06,0.05923385187494947,self_loops_and_sink_states,0.05,0.05,,125.34764194488525,0.9901315789473685,0.9885057471264368,0.9893179950698439,3,success,
98846,15,both_bounds,,0.058,0.059,0.05877189943295338,self_loops_and_parallel_edges,0.05,,0.05,198.6794149875641,0.9887096774193549,0.9745627980922098,0.9815852682145717,3,success,
37843,15,both_bounds,,0.058,0.059,0.058714155377703865,sink_states,,0.05,,1224.4054942131042,0.9943955164131305,0.9833729216152018,0.9888535031847133,3,success,
45,15,both_bounds,,0.058,0.059,0.05848317915670582,parallel_edges,,,0.05,483.6793658733368,0.025416997617156472,0.02494154325798909,0.025177025963808025,3,success,
75385,15,both_bounds,,0.058,0.059,0.058344593424106986,parallel_edges,,,0.05,260.35681796073914,1.0,0.9961389961389961,0.9980657640232108,3,success,
9471,15,both_bounds,,0.058,0.059,0.058679508944554155,self_loops_and_sink_states,0.05,0.05,,123.56353306770325,0.9856687898089171,0.9778830963665087,0.9817605075337034,3,success,
9178,15,both_bounds,,0.059,0.06,0.05923385187494947,self_loops_and_parallel_edges,0.05,,0.05,130.15762090682983,0.9629032258064516,0.9802955665024631,0.9715215622457283,3,success,
45,15,both_bounds,,0.058,0.059,0.05848317915670582,self_loops_and_sink_states,0.05,0.05,,121.40143179893494,1.0,0.9929851909586905,0.9964802502933124,3,success,
75385,15,both_bounds,,0.058,0.059,0.058344593424106986,self_loops_and_sink_states,0.05,0.05,,134.63425493240356,0.9744582043343654,0.9722007722007722,0.9733281793583302,3,success,
45,15,both_bounds,,0.058,0.059,0.05848317915670582,self_loops_and_parallel_edges,0.05,,0.05,135.06175303459167,0.9888977002379065,0.9719407638347622,0.9803459119496856,3,success,
9471,15,both_bounds,,0.058,0.059,0.058679508944554155,self_loops_and_parallel_edges,0.05,,0.05,326.6219160556793,0.9833068362480127,0.9770932069510269,0.9801901743264659,3,success,
75385,15,both_bounds,,0.058,0.059,0.058344593424106986,self_loops_and_parallel_edges,0.05,,0.05,220.29758596420288,1.0,0.9969111969111969,0.9984532095901005,3,success,
37843,15,both_bounds,,0.058,0.059,0.058714155377703865,parallel_edges,,,0.05,561.1881890296936,0.9992050874403816,0.995249406175772,0.9972233240777469,3,success,
84787,15,both_bounds,,0.058,0.059,0.05873725299980367,sink_states_and_parallel_edges,,0.05,0.05,775.6916470527649,0.9975942261427426,0.9865186360031721,0.9920255183413078,3,success,
37843,15,both_bounds,,0.058,0.059,0.058714155377703865,self_loops_and_sink_states,0.05,0.05,,162.4523000717163,0.9808459696727854,0.9730799683293745,0.9769475357710652,3,success,
114,15,both_bounds,,0.058,0.059,0.05851782558985552,sink_states_and_parallel_edges,,0.05,0.05,990.7775790691376,0.994492525570417,0.9875,0.990983927871423,3,success,
84787,15,both_bounds,,0.058,0.059,0.05873725299980367,all,0.05,0.05,0.05,325.96858191490173,0.981687898089172,0.9777954004758128,0.9797377830750894,3,success,
59934,15,both_bounds,,0.058,0.059,0.05821755650255806,standart,,,,10.545149087905884,1.0,0.9977029096477795,0.9988501341510158,3,success,
58283,15,both_bounds,,0.059,0.06,0.059095266142350646,sink_states_and_parallel_edges,,0.05,0.05,1158.7685570716858,0.002390438247011952,0.0024390243902439024,0.002414486921529175,3,success,
59934,15,both_bounds,,0.058,0.059,0.05821755650255806,self_loops,0.05,,,93.68155193328857,1.0,0.998468606431853,0.9992337164750957,3,success,
45,15,both_bounds,,0.058,0.059,0.05848317915670582,sink_states_and_parallel_edges,,0.05,0.05,721.6732270717621,0.995260663507109,0.9820732657833203,0.9886229894076108,3,success,
37843,15,both_bounds,,0.058,0.059,0.058714155377703865,self_loops_and_parallel_edges,0.05,,0.05,338.2441039085388,1.0,0.9992082343626286,0.9996039603960396,3,success,
