seed,class_a,class_b,num_states,deviation,case_name,lower_bound,upper_bound,exact_bound,runtime,precision,recall,f1,states,status,error_message
72994,0,1,4,,upper_only,,0.11,0.10317460317460317,0.013391971588134766,1.0,0.8571428571428571,0.9230769230769231,4,success,
65447,0,1,5,,lower_only,0.1,,0.10317460317460317,0.021406888961791992,1.0,1.0,1.0,5,success,
114,0,1,4,,upper_only,,0.11,0.10317460317460317,0.013296127319335938,1.0,0.8571428571428571,0.9230769230769231,4,success,
87228,0,1,4,,lower_only,0.1,,0.10317460317460317,0.014446020126342773,1.0,1.0,1.0,4,success,
51134,0,1,4,,upper_only,,0.11,0.10317460317460317,0.013653039932250977,1.0,1.0,1.0,4,success,
58283,0,1,4,,upper_only,,0.11,0.10317460317460317,0.014454126358032227,1.0,0.8571428571428571,0.9230769230769231,4,success,
59934,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.01609206199645996,1.0,1.0,1.0,4,success,
36624,0,1,5,,lower_only,0.1,,0.10317460317460317,0.02019786834716797,1.0,1.0,1.0,5,success,
39161,0,1,5,,lower_only,0.1,,0.10317460317460317,0.019958019256591797,1.0,1.0,1.0,5,success,
98846,0,1,6,,both_bounds,0.1,0.11,0.10317460317460317,0.018362045288085938,1.0,1.0,1.0,6,success,
93344,0,1,5,,both_bounds,0.1,0.11,0.10317460317460317,0.02048206329345703,1.0,1.0,1.0,5,success,
85303,0,1,5,,both_bounds,0.1,0.11,0.10317460317460317,0.015044212341308594,1.0,1.0,1.0,5,success,
79121,0,1,4,,upper_only,,0.11,0.10317460317460317,0.013305902481079102,1.0,1.0,1.0,4,success,
97635,0,1,4,,lower_only,0.1,,0.10317460317460317,0.014538049697875977,1.0,1.0,1.0,4,success,
